Age of the instructor,Is that a major course(more than 3) or minor(optional) course?,Beauty of the instructor,Rate your instructor?,Year,Month,Day,Hour,Gender_Male,Which state does s/he belong to?_0,Which state does s/he belong to?_Andhrapradesh ,Which state does s/he belong to?_Assam ,Which state does s/he belong to?_Bengal,Which state does s/he belong to?_Bhubaneswar ,Which state does s/he belong to?_Bihar,Which state does s/he belong to?_Bihar ,Which state does s/he belong to?_Bijar,Which state does s/he belong to?_Chattisgarh,Which state does s/he belong to?_Delhi,Which state does s/he belong to?_Delhi ,Which state does s/he belong to?_Don't know,Which state does s/he belong to?_Goa,Which state does s/he belong to?_Gujurat,Which state does s/he belong to?_He belongs to West Bengal ,Which state does s/he belong to?_I guess Odisha.,Which state does s/he belong to?_INDIA,Which state does s/he belong to?_India,Which state does s/he belong to?_Jharkhand,Which state does s/he belong to?_Jharkhand ,Which state does s/he belong to?_Karnataka ,Which state does s/he belong to?_Maharashtra,Which state does s/he belong to?_Maharastra,Which state does s/he belong to?_New Delhi,Which state does s/he belong to?_No idea,Which state does s/he belong to?_No idea ,Which state does s/he belong to?_Odisha,Which state does s/he belong to?_Odisha ,Which state does s/he belong to?_Orissa,Which state does s/he belong to?_Pok ,Which state does s/he belong to?_Rajasthan,Which state does s/he belong to?_Sikkim,Which state does s/he belong to?_Telengana,Which state does s/he belong to?_Uttar Pradesh,Which state does s/he belong to?_Uttar Pradesh ,Which state does s/he belong to?_West Bengal,Which state does s/he belong to?_West Bengal ,Which state does s/he belong to?_West bengal,Which state does s/he belong to?_west bengal
30.0,1,0.036502671637049296,0.7449609360699205,2023,3,2,7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
54.0,1,-0.9794883555941544,-0.24049919983359586,2023,3,2,15,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
50.0,1,-0.9794883555941544,-1.2259593357371124,2023,3,2,15,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
23.0,0,1.052493698868253,-2.2114194716406286,2023,3,2,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
44.0,0,1.052493698868253,-0.24049919983359586,2023,3,2,15,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18.0,0,0.036502671637049296,-3.1968796075441452,2023,3,2,15,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
22.0,1,-0.9794883555941544,0.7449609360699205,2023,3,2,15,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
30.0,1,1.052493698868253,0.7449609360699205,2023,3,2,15,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
28.0,1,1.052493698868253,0.7449609360699205,2023,3,2,15,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
33.0,1,-0.9794883555941544,0.7449609360699205,2023,3,2,15,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
35.0,1,0.036502671637049296,0.7449609360699205,2023,3,2,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
30.0,1,1.052493698868253,0.7449609360699205,2023,3,2,15,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,1,0.036502671637049296,0.7449609360699205,2023,3,2,15,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36.0,1,1.052493698868253,-0.24049919983359586,2023,3,2,15,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
28.0,1,0.036502671637049296,-0.24049919983359586,2023,3,2,15,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
40.0,0,-0.9794883555941544,0.7449609360699205,2023,3,2,15,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
45.0,1,0.036502671637049296,0.7449609360699205,2023,3,2,15,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
40.0,1,,0.7449609360699205,2023,3,2,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
38.0,1,0.036502671637049296,0.7449609360699205,2023,3,2,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
45.0,1,-0.9794883555941544,0.7449609360699205,2023,3,2,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
,1,0.036502671637049296,-1.2259593357371124,2023,3,2,15,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
40.0,1,1.052493698868253,-0.24049919983359586,2023,3,2,15,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
25.0,1,-0.9794883555941544,-1.2259593357371124,2023,3,2,16,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
36.0,1,-0.9794883555941544,-1.2259593357371124,2023,3,2,16,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28.0,1,-0.9794883555941544,0.7449609360699205,2023,3,2,16,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
38.0,1,-1.9954793828253579,-1.2259593357371124,2023,3,2,16,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
32.0,1,0.036502671637049296,-0.24049919983359586,2023,3,2,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
40.0,0,0.036502671637049296,0.7449609360699205,2023,3,2,16,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27.0,1,0.036502671637049296,0.7449609360699205,2023,3,2,16,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
33.0,1,,,2023,3,2,16,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
,1,1.052493698868253,0.7449609360699205,2023,3,2,17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
,1,0.036502671637049296,0.7449609360699205,2023,3,2,17,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,1,1.052493698868253,0.7449609360699205,2023,3,2,17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
,1,0.036502671637049296,0.7449609360699205,2023,3,2,17,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
36.0,1,1.052493698868253,0.7449609360699205,2023,3,2,17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
30.0,1,0.036502671637049296,-2.2114194716406286,2023,3,2,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
27.0,0,-0.9794883555941544,-0.24049919983359586,2023,3,2,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
32.0,1,-1.9954793828253579,-1.2259593357371124,2023,3,2,19,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45.0,1,-0.9794883555941544,0.7449609360699205,2023,3,2,19,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
38.0,1,-0.9794883555941544,-1.2259593357371124,2023,3,2,19,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
35.0,1,1.052493698868253,-1.2259593357371124,2023,3,2,19,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35.0,0,0.036502671637049296,0.7449609360699205,2023,3,2,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
30.0,1,-0.9794883555941544,0.7449609360699205,2023,3,2,19,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28.0,1,0.036502671637049296,0.7449609360699205,2023,3,2,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
40.0,1,-0.9794883555941544,-0.24049919983359586,2023,3,2,19,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
32.0,1,1.052493698868253,-0.24049919983359586,2023,3,2,19,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40.0,0,0.036502671637049296,0.7449609360699205,2023,3,2,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
40.0,1,-0.9794883555941544,-1.2259593357371124,2023,3,2,20,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
35.0,0,0.036502671637049296,-1.2259593357371124,2023,3,2,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
42.0,0,-0.9794883555941544,0.7449609360699205,2023,3,2,20,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
50.0,1,-0.9794883555941544,-1.2259593357371124,2023,3,2,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
32.0,0,-0.9794883555941544,-1.2259593357371124,2023,3,2,20,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45.0,1,0.036502671637049296,-0.24049919983359586,2023,3,2,20,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
34.0,1,0.036502671637049296,-1.2259593357371124,2023,3,2,20,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
35.0,0,-0.9794883555941544,-0.24049919983359586,2023,3,2,20,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,1,1.052493698868253,0.7449609360699205,2023,3,2,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
20.0,1,0.036502671637049296,-1.2259593357371124,2023,3,2,21,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
